time_alvo,ano,jogo,casa_ou_adversario,time_casa,time_visitante,estadio,torneio,placar_casa,placar_visitante,tecnico_casa,tecnico_visitante,nome_do_jogador,numero_do_jogador,posicao_do_jogador,substituto,capitao,passes_totais,passes_precisos,bolas_longas_totais,passes_precisos_longos,duelos_ganhos,afastamentos_totais,sofreu_faltas,defesas,minutos_jogados,toques,avaliacao,posses_de_bola_perdidas,cruzamentos_totais,cruzamentos_precisos,disputas_aereas_perdidas,duelos_perdidos,disputas_totais,disputas_ganhas,interceptacoes_ganhas,faltas,passes_chave,disputas_aereas_ganhas,desafios_perdidos,carrinhos_totais,tentativas_de_gol_bloqueadas,bloqueios_de_jogador_de_linha,perda_de_posse,tentativas_de_gol_no_alvo,gols,chutes_fora_do_alvo,socos_do_goleiro,acoes_do_goleiro_libero,acoes_precisas_do_goleiro_libero,assistencias,grandes_chances_criadas,impedimentos_totais,chutes_defendidos_de_dentro_da_area,grandes_chances_perdidas,penalti_ganho,boas_saidas_altas_do_goleiro,bola_na_trave,penalti_cometido,defesa_de_penalti,defesa_em_penalti_na_disputa_de_penaltis,gol_em_penalti_na_disputa_de_penaltis,erro_em_penalti_na_disputa_de_penaltis,penalti_perdido,erro_que_levou_a_um_chute,carrinho_de_ultimo_homem,afastamento_em_cima_da_linha,gols_contra,erro_que_levou_a_um_gol,gols_esperados,gols_evitatados,assistencias_esperadas
Palmeiras,2019.0,2.0,home,Palmeiras,Botafogo-SP,Allianz Parque,Paulista Série A1,1.0,0.0,Abel Ferreira,Paulo Gomes,Miguel Borja,9.0,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,3.0,away,São Caetano,Palmeiras,Anacleto Campanella,Paulista Série A1,0.0,2.0,Edson Vieira,Abel Ferreira,Jailson,42.0,G,False,,15.0,8.0,10.0,3.0,1.0,1.0,,2.0,90.0,22.0,7.4,8.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,3.0,away,São Caetano,Palmeiras,Anacleto Campanella,Paulista Série A1,0.0,2.0,Edson Vieira,Abel Ferreira,Mayke,12.0,D,False,,46.0,41.0,3.0,3.0,5.0,3.0,1.0,,90.0,66.0,7.0,10.0,1.0,,1.0,4.0,,,2.0,2.0,,3.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,3.0,away,São Caetano,Palmeiras,Anacleto Campanella,Paulista Série A1,0.0,2.0,Edson Vieira,Abel Ferreira,Luan Garcia,13.0,D,False,,46.0,41.0,7.0,3.0,3.0,4.0,1.0,,90.0,57.0,7.7,6.0,,,,4.0,,,1.0,2.0,,,1.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,3.0,away,São Caetano,Palmeiras,Anacleto Campanella,Paulista Série A1,0.0,2.0,Edson Vieira,Abel Ferreira,Gustavo Gómez,15.0,D,False,,39.0,34.0,5.0,1.0,4.0,4.0,1.0,,90.0,52.0,7.2,7.0,,,1.0,3.0,,,3.0,3.0,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,3.0,away,São Caetano,Palmeiras,Anacleto Campanella,Paulista Série A1,0.0,2.0,Edson Vieira,Abel Ferreira,Diogo Barbosa,6.0,D,False,,40.0,31.0,5.0,1.0,7.0,2.0,1.0,,90.0,57.0,7.4,12.0,,,1.0,4.0,,,,2.0,1.0,2.0,1.0,4.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,3.0,away,São Caetano,Palmeiras,Anacleto Campanella,Paulista Série A1,0.0,2.0,Edson Vieira,Abel Ferreira,Felipe Melo,30.0,M,False,True,45.0,38.0,4.0,3.0,4.0,1.0,,,90.0,51.0,6.8,8.0,,,2.0,6.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,3.0,away,São Caetano,Palmeiras,Anacleto Campanella,Paulista Série A1,0.0,2.0,Edson Vieira,Abel Ferreira,Moisés,10.0,M,False,,24.0,20.0,6.0,4.0,1.0,,,,62.0,30.0,6.8,4.0,,,,2.0,,,2.0,2.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,3.0,away,São Caetano,Palmeiras,Anacleto Campanella,Paulista Série A1,0.0,2.0,Edson Vieira,Abel Ferreira,Carlos Eduardo,37.0,M,False,,16.0,10.0,1.0,1.0,6.0,,4.0,,72.0,35.0,6.7,14.0,3.0,,2.0,7.0,3.0,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,,1.0,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,
Palmeiras,2019.0,3.0,away,São Caetano,Palmeiras,Anacleto Campanella,Paulista Série A1,0.0,2.0,Edson Vieira,Abel Ferreira,Lucas Lima,20.0,M,False,,45.0,34.0,6.0,3.0,7.0,,2.0,,90.0,59.0,7.0,16.0,1.0,,,5.0,2.0,2.0,1.0,2.0,1.0,,1.0,3.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
